iteration,runtime,r2_score,mape_score,mae_score,max_depth,min_samples_split,min_samples_leaf,n_estimators,hyperparameters
12,27.16831212299803,0.604830876621558,5.779718592616654,0.285502235582039,79,3,2,689,"{'bootstrap': True, 'max_depth': 79, 'max_features': 'log2', 'min_samples_split': 3, 'min_samples_leaf': 2, 'n_estimators': 689}"
13,81.9426992560002,0.4465455110277694,6.295787562343892,0.31177058597081614,83,7,10,747,"{'bootstrap': False, 'max_depth': 83, 'max_features': 'auto', 'min_samples_split': 7, 'min_samples_leaf': 10, 'n_estimators': 747}"
14,21.87818910400165,0.5792848311738541,6.131889516905707,0.30348152524210636,67,9,8,670,"{'bootstrap': False, 'max_depth': 67, 'max_features': 'log2', 'min_samples_split': 9, 'min_samples_leaf': 8, 'n_estimators': 670}"
15,17.80235640400133,0.5514044524573867,6.44733828439311,0.3195176271888407,73,6,9,554,"{'bootstrap': True, 'max_depth': 73, 'max_features': 'log2', 'min_samples_split': 6, 'min_samples_leaf': 9, 'n_estimators': 554}"
16,33.41620252899884,0.44265725100157594,6.2349694413369425,0.3088334152393051,73,6,6,263,"{'bootstrap': False, 'max_depth': 73, 'max_features': 'auto', 'min_samples_split': 6, 'min_samples_leaf': 6, 'n_estimators': 263}"
17,31.29599611500089,0.6100948290071423,5.67721317098601,0.28069514425705966,85,3,3,767,"{'bootstrap': False, 'max_depth': 85, 'max_features': 'log2', 'min_samples_split': 3, 'min_samples_leaf': 3, 'n_estimators': 767}"
18,12.523835591000534,0.5389330003621079,6.583643781287996,0.32617942668210725,17,7,10,321,"{'bootstrap': True, 'max_depth': 17, 'max_features': 'log2', 'min_samples_split': 7, 'min_samples_leaf': 10, 'n_estimators': 321}"
19,49.47886509900127,0.5704516887482344,5.96424511169648,0.2944765798837353,45,7,9,651,"{'bootstrap': True, 'max_depth': 45, 'max_features': 'auto', 'min_samples_split': 7, 'min_samples_leaf': 9, 'n_estimators': 651}"
20,24.447231205002026,0.21826088826360718,8.387978944206619,0.41707114806338924,3,8,2,573,"{'bootstrap': False, 'max_depth': 3, 'max_features': 'auto', 'min_samples_split': 8, 'min_samples_leaf': 2, 'n_estimators': 573}"
21,23.673450203998073,0.06634993064241204,9.350294981653414,0.46621143453057234,1,4,4,941,"{'bootstrap': False, 'max_depth': 1, 'max_features': 'auto', 'min_samples_split': 4, 'min_samples_leaf': 4, 'n_estimators': 941}"
22,25.469048261998978,0.583891296119757,6.084645626410529,0.3006833116373123,23,4,4,806,"{'bootstrap': True, 'max_depth': 23, 'max_features': 'log2', 'min_samples_split': 4, 'min_samples_leaf': 4, 'n_estimators': 806}"
23,14.487463698998909,0.4424766796296667,6.411977299581983,0.3174525361088115,15,9,5,108,"{'bootstrap': False, 'max_depth': 15, 'max_features': 'auto', 'min_samples_split': 9, 'min_samples_leaf': 5, 'n_estimators': 108}"
24,9.729745775999618,0.4638653054436513,7.234937644752304,0.35793098233170806,9,8,5,205,"{'bootstrap': False, 'max_depth': 9, 'max_features': 'log2', 'min_samples_split': 8, 'min_samples_leaf': 5, 'n_estimators': 205}"
25,25.37906245299746,0.5853560141684934,6.059566514962474,0.29943373881189606,37,6,4,786,"{'bootstrap': True, 'max_depth': 37, 'max_features': 'log2', 'min_samples_split': 6, 'min_samples_leaf': 4, 'n_estimators': 786}"
26,19.41306310299842,0.5789342624966943,6.1332346964777145,0.3035070159601276,91,9,8,534,"{'bootstrap': False, 'max_depth': 91, 'max_features': 'log2', 'min_samples_split': 9, 'min_samples_leaf': 8, 'n_estimators': 534}"
27,6.617776315997617,0.5677646436177982,6.249192392610872,0.3091777583715679,95,5,10,108,"{'bootstrap': False, 'max_depth': 95, 'max_features': 'log2', 'min_samples_split': 5, 'min_samples_leaf': 10, 'n_estimators': 108}"
28,7.192482662998373,0.5480503393817308,6.457720470859746,0.319807432178712,25,8,9,127,"{'bootstrap': True, 'max_depth': 25, 'max_features': 'log2', 'min_samples_split': 8, 'min_samples_leaf': 9, 'n_estimators': 127}"
29,15.08735209599763,0.06690285261157854,9.35086085262817,0.4661365672384023,1,9,11,476,"{'bootstrap': True, 'max_depth': 1, 'max_features': 'auto', 'min_samples_split': 9, 'min_samples_leaf': 11, 'n_estimators': 476}"
30,12.054087663000246,0.5959714101484425,5.902187432298628,0.2920871911972326,100,6,5,224,"{'bootstrap': False, 'max_depth': 100, 'max_features': 'log2', 'min_samples_split': 6, 'min_samples_leaf': 5, 'n_estimators': 224}"
31,56.764500310000585,0.44025099201555307,6.2278757910747675,0.3086220485048572,77,2,5,457,"{'bootstrap': False, 'max_depth': 77, 'max_features': 'auto', 'min_samples_split': 2, 'min_samples_leaf': 5, 'n_estimators': 457}"
32,54.73947558999862,0.5955490375920951,5.678612610824066,0.27941144797373163,37,8,2,612,"{'bootstrap': True, 'max_depth': 37, 'max_features': 'auto', 'min_samples_split': 8, 'min_samples_leaf': 2, 'n_estimators': 612}"
33,24.097980882997945,0.5688660973172825,6.2463768123587515,0.3093426081479268,31,3,10,747,"{'bootstrap': False, 'max_depth': 31, 'max_features': 'log2', 'min_samples_split': 3, 'min_samples_leaf': 10, 'n_estimators': 747}"
34,20.568032111998036,0.56318212450527,6.334642290127823,0.31318652737912983,17,10,9,651,"{'bootstrap': False, 'max_depth': 17, 'max_features': 'log2', 'min_samples_split': 10, 'min_samples_leaf': 9, 'n_estimators': 651}"
35,12.955683018000855,0.21826088826360843,8.387978944206669,0.41707114806339085,3,5,10,243,"{'bootstrap': False, 'max_depth': 3, 'max_features': 'auto', 'min_samples_split': 5, 'min_samples_leaf': 10, 'n_estimators': 243}"
36,4.072052457002428,0.5406001857863456,6.5264017083411705,0.3233087134137106,21,6,10,50,"{'bootstrap': True, 'max_depth': 21, 'max_features': 'log2', 'min_samples_split': 6, 'min_samples_leaf': 10, 'n_estimators': 50}"
37,15.634774458998436,0.4627703542881217,7.252720791853731,0.35886717288511893,9,9,2,495,"{'bootstrap': True, 'max_depth': 9, 'max_features': 'log2', 'min_samples_split': 9, 'min_samples_leaf': 2, 'n_estimators': 495}"
38,90.32869373400172,0.4402287514341984,6.2274185612303485,0.3086358553278614,47,9,5,747,"{'bootstrap': False, 'max_depth': 47, 'max_features': 'auto', 'min_samples_split': 9, 'min_samples_leaf': 5, 'n_estimators': 747}"
39,7.001821513000323,0.589031903341396,5.986182837180742,0.2963785202996975,81,11,6,127,"{'bootstrap': False, 'max_depth': 81, 'max_features': 'log2', 'min_samples_split': 11, 'min_samples_leaf': 6, 'n_estimators': 127}"
40,19.45738066299964,0.4450777979534822,6.288630625949273,0.31142832259378433,67,6,9,146,"{'bootstrap': False, 'max_depth': 67, 'max_features': 'auto', 'min_samples_split': 6, 'min_samples_leaf': 9, 'n_estimators': 146}"
41,31.820024402000854,0.5706798743989323,5.965396876809061,0.29437866411088287,61,7,9,398,"{'bootstrap': True, 'max_depth': 61, 'max_features': 'auto', 'min_samples_split': 7, 'min_samples_leaf': 9, 'n_estimators': 398}"
